"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","7","1051","57","72.8","994","978.2","15.8","94.6","93.1","1.5","89.5","96.9","93.6","0.2","1","0.12"
"Adam Hamari","8","1171","56","69.5","1115","1101.5","13.5","95.2","94.1","1.15","93.2","96.7","93.9","0.3","0.8","0.11"
"Adrian Johnson","7","1066","60","68.2","1006","997.8","8.2","94.4","93.6","0.77","92","95.4","94","0.5","1.4","0.16"
"Alan Porter","7","1035","42","59.2","993","975.8","17.2","95.9","94.3","1.66","91","97.5","93.8","0.4","0.8","0.13"
"Alex MacKay","7","1063","64","84.5","999","978.5","20.5","94","92","1.93","90.2","97","91.9","0.3","1.3","0.14"
"Alex Tosi","7","1022","48","65.7","974","956.3","17.7","95.3","93.6","1.73","92.4","99.4","93.8","0.5","1.1","0.17"
"Alfonso Márquez","6","831","60","56.7","771","774.3","-3.3","92.8","93.2","-0.4","89.3","94.5","93.1","0.5","1.3","0.13"
"Andy Fletcher","8","1355","88","89.6","1267","1265.4","1.6","93.5","93.4","0.12","91.9","95.9","94","0.4","1.4","0.13"
"Angel Hernandez","7","1269","85","80.8","1184","1188.2","-4.2","93.3","93.6","-0.33","89.6","96.1","92.8","0.6","2.2","0.18"
"Ben May","7","989","43","55.7","946","933.3","12.7","95.7","94.4","1.28","91.1","99.1","96.1","0.5","1","0.16"
"Bill Miller","8","1217","85","77","1132","1140","-8","93","93.7","-0.66","90.6","97.6","94.1","0.4","1.3","0.12"
"Brennan Miller","7","1036","71","69.9","965","966.1","-1.1","93.1","93.3","-0.1","89.1","97.5","93.4","0.6","1.4","0.14"
"Brian Knight","7","1089","60","64.5","1029","1024.5","4.5","94.5","94.1","0.41","91.1","96.5","94.3","0.4","1.1","0.13"
"Brian O'Nora","7","950","63","61.4","887","888.6","-1.6","93.4","93.5","-0.17","90.1","96","93.1","0.5","1.1","0.12"
"Brian Walsh","6","956","68","61.9","888","894.1","-6.1","92.9","93.5","-0.64","89.2","97.2","92","0.5","1.4","0.13"
"Brock Ballou","5","687","39","48.3","648","638.7","9.3","94.3","93","1.36","91.7","97.2","94.5","0.5","1","0.13"
"Bruce Dreckman","7","1035","68","63.7","967","971.3","-4.3","93.4","93.8","-0.41","91.4","95.6","94.1","0.3","1.3","0.13"
"Carlos Torres","7","1083","53","72.7","1030","1010.3","19.7","95.1","93.3","1.81","93.1","97.7","94.3","0.3","1","0.13"
"CB Bucknor","7","1139","95","74.8","1044","1064.2","-20.2","91.7","93.4","-1.78","88.8","95.6","92.6","0.4","1.8","0.13"
"Chad Fairchild","8","1259","82","78.7","1177","1180.3","-3.3","93.5","93.7","-0.26","90.4","96.5","93.5","0.3","1.6","0.15"
"Chad Whitson","7","1054","75","75.1","979","978.9","0.1","92.9","92.9","0","89.2","99.3","94.2","0.3","1.4","0.13"
